"dataset","guide","gap_lo","gap_hi","gap_ratio","n_amb","n_sig","a_g","max_amb_rate","obs2","exp2_single","exp2_den","c2_oe_single","c2_oe_den","tail_oe_single","tail_oe_den"
"tcell_cd4","ZNF235-1",2,17,8.5,53,25,0.000208903296024272,0.0113,1,0.01,0.03,94.48,39.76,94.48,39.76
"tcell_cd4","MOSMO-1",3,16,5.33,338,50,0.00138134010235008,0.0746,15,0.46,1.09,32.49,13.73,36.79,15.52
"tcell_cd4","ANKRD13A-1",3,15,5,75,29,0.000305635534775701,0.0165,2,0.02,0.05,88.3,37.17,132.42,55.73
"tcell_cd4","SMIM13-1",5,16,3.2,120,12,0.000533826823448016,0.0288,12,0.07,0.16,173.71,73.19,202.6,85.31
"tcell_cd4","ANKRD9-1",3,9,3,53,21,0.000216664781322547,0.0117,1,0.01,0.03,87.85,36.97,175.68,73.9
"tcell_cd4","C9orf85-1",2,29,14.5,50,12,0.000201139675016236,0.0109,2,0.01,0.02,203.78,85.77,203.78,85.77
"tcell_cd4","CLUAP1-1",2,22,11,106,38,0.000417834113220501,0.0226,2,0.04,0.1,47.25,19.9,47.25,19.9
"tcell_cd4","ATAD5-1",3,19,6.33,74,13,0.000321069744702824,0.0173,5,0.02,0.06,200.01,84.21,279.96,117.82
"tcell_cd4","PPP3R1-1",2,31,15.5,60,21,0.000243709197090859,0.0132,3,0.01,0.03,208.25,87.66,208.25,87.66
"tcell_cd4","PGC-1",5,20,4,100,33,0.000417832481797907,0.0226,4,0.04,0.1,94.51,39.81,118.1,49.72
"tcell_cd4","EDEM2-1",2,7,3.5,63,14,0.000247578557472396,0.0134,1,0.01,0.04,67.27,28.31,67.27,28.31
"tcell_cd4","CDH23-1",3,17,5.67,83,25,0.000348158695855074,0.0188,5,0.03,0.07,170.1,71.63,204.08,85.9
"tcell_cd4","RPS6KC1-1",4,15,3.75,74,15,0.000305617800077369,0.0165,2,0.02,0.05,88.31,37.17,132.43,55.73
"tcell_cd4","AP3M1-1",2,22,11,55,17,0.000216624529811698,0.0117,1,0.01,0.03,87.85,36.98,87.85,36.98
"tcell_cd4","PLXNA3-1",2,11,5.5,59,21,0.000236001619772923,0.0127,2,0.01,0.03,148.08,62.32,148.08,62.32
"tcell_cd4","EML5-1",1,8,8,86,27,0.000332691412534253,0.018,NA,NA,NA,NA,NA,NA,NA
"tcell_cd4","CYTH2-1",2,10,5,93,26,0.00036366901103602,0.0196,1,0.03,0.08,31.19,13.13,31.19,13.13
"tcell_cd4","BCL10-1",2,9,4.5,65,22,0.000259190825045649,0.014,2,0.02,0.04,122.75,51.67,122.75,51.67
"tcell_cd4","VKORC1-1",4,15,3.75,50,13,0.000212753763971614,0.0115,2,0.01,0.03,182.16,76.67,273.2,114.96
"tcell_cd4","PWP2-1",2,15,7.5,57,17,0.000228247963609373,0.0123,2,0.01,0.03,158.3,66.62,158.3,66.62
"tcell_cd4","BAD-1",3,38,12.67,65,12,0.000290132241879575,0.0157,6,0.02,0.05,293.93,123.73,391.83,164.89
"tcell_cd4","ADAMTS10-1",1,9,9,52,26,0.00020117236688836,0.0109,NA,NA,NA,NA,NA,NA,NA
