"guide","target","base_cp10k","n_assigned2","n_rejected2","kd_assigned2","kd_rejected2","kd_strong"
"106_ACTL6A_P1P2_ENSG00000136518","ENSG00000136518",0.558,2,0,1.126,NA,0.223
"309_ANAPC5_P1P2_ENSG00000089053","ENSG00000089053",0.994,17,32,0.765,0.869,0.12
"350_ANLN_P1P2_ENSG00000011426","ENSG00000011426",1.569,32,1,0.295,0,0.055
"378_AP2S1_P1P2_ENSG00000042753","ENSG00000042753",6.383,16,70,0.851,0.934,0.171
"534_ARPC1B_P1P2_ENSG00000130429","ENSG00000130429",3.097,21,0,1.055,NA,0.178
"592_INTS13_P1P2_ENSG00000064102","ENSG00000064102",0.526,12,39,0.638,1.042,0.128
"682_ATP6V1D_P1P2_ENSG00000100554","ENSG00000100554",1.269,9,34,1.472,0.986,0.203
"700_ATXN10_P1P2_ENSG00000130638","ENSG00000130638",1.477,29,5,1.077,0.473,0.098
"888_BRD2_P1_ENSG00000204256","ENSG00000204256",0.891,11,24,1.147,1.256,0.253
"1032_C1QBP_P1P2_ENSG00000108561","ENSG00000108561",3.572,20,66,1.051,1.073,0.151
"1175_CAP1_P1P2_ENSG00000131236","ENSG00000131236",3.335,18,14,0.918,1.212,0.091
"1315_CCNA2_P1P2_ENSG00000145386","ENSG00000145386",0.999,23,3,0.648,0.77,0.316
"1346_CCT2_P1P2_ENSG00000166226","ENSG00000166226",3.254,18,130,0.947,0.86,0.136
"1550_CHCHD3_P1P2_ENSG00000106554","ENSG00000106554",0.707,17,30,0.564,0.954,0.158
"1583_CHMP3_P1P2_ENSG00000115561","ENSG00000115561",0.854,42,34,0.972,1.535,0.146
"1586_CHMP4B_P1P2_ENSG00000101421","ENSG00000101421",0.62,47,3,1.266,0.362,0.441
"1773_COPE_P1P2_ENSG00000105669","ENSG00000105669",2.173,42,2,1.229,1.021,0.221
"1810_COX17_P1P2_ENSG00000138495","ENSG00000138495",0.769,18,25,0.893,1.094,0.152
"1840_CPSF2_P1P2_ENSG00000165934","ENSG00000165934",0.612,6,0,0.759,NA,0.113
"1898_CSNK1A1_P1P2_ENSG00000113712","ENSG00000113712",2.011,23,5,1.206,0.91,0.42
"1941_CTPS1_P1P2_ENSG00000171793","ENSG00000171793",0.568,12,8,1.309,1.105,0.146
"1961_CUL2_P1P2_ENSG00000108094","ENSG00000108094",0.552,23,13,1.027,1.039,0.066
"2001_CYFIP1_P1P2_ENSG00000273749","ENSG00000273749",0.606,14,10,1.283,1.162,0.213
"2030_DARS_P1P2_ENSG00000115866","ENSG00000115866",0.897,21,0,0.836,NA,0.102
"2111_DDX21_P1P2_ENSG00000165732","ENSG00000165732",2.002,42,25,0.882,0.951,0.17
"2187_DHFR_P1P2_ENSG00000228716","ENSG00000228716",0.941,16,19,0.565,0.756,0.381
"2212_DHX36_P1P2_ENSG00000174953","ENSG00000174953",0.965,13,207,0.501,0.992,0.194
"2233_DIS3_P1P2_ENSG00000083520","ENSG00000083520",0.535,10,0,0.192,NA,0.317
"2235_DKC1_P1P2_ENSG00000130826","ENSG00000130826",0.83,6,0,0.879,NA,0.13
"2550_EIF3F_P1P2_ENSG00000175390","ENSG00000175390",3.14,28,0,1.249,NA,0.116
"2551_EIF3G_P1P2_ENSG00000130811","ENSG00000130811",2.141,2,0,1.272,NA,0.144
"2552_EIF3H_P1P2_ENSG00000147677","ENSG00000147677",2.327,5,0,0.906,NA,0.095
"2578_EIF5_P1_ENSG00000100664","ENSG00000100664",3.176,18,6,1.102,1.077,0.29
"2640_ENO1_P1P2_ENSG00000074800","ENSG00000074800",17.777,7,477,1.057,0.942,0.095
"2988_FBL_P1P2_ENSG00000105202","ENSG00000105202",1.27,17,1,0.847,0,0.149
"3050_FDPS_P1P2_ENSG00000160752","ENSG00000160752",1.228,13,13,0.826,0.641,0.129
"3086_FIP1L1_P1P2_ENSG00000145216","ENSG00000145216",0.576,12,0,0.873,NA,0.135
"3436_RACK1_P1P2_ENSG00000204628","ENSG00000204628",20.445,37,0,1.046,NA,0.172
