"regime","precision","recall","n_assigned","method","cutoff"
"hard (mu<=15)",0.625121913041384,0.629625137950689,83051,"ours (ambient)",0.001
"moderate (mu=50)",0.841885231473332,0.799857847646124,45448,"ours (ambient)",0.001
"easy (mu>=150)",0.968587823780892,0.84134123698033,87482,"ours (ambient)",0.001
"hard (mu<=15)",0.593822906187796,0.672932558788217,93442,"ours (ambient)",0.005
"moderate (mu=50)",0.807728849966953,0.817522368090978,48416,"ours (ambient)",0.005
"easy (mu>=150)",0.956992854507028,0.849751273420512,89427,"ours (ambient)",0.005
"hard (mu<=15)",0.579017143319772,0.693876808518379,98814,"ours (ambient)",0.01
"moderate (mu=50)",0.789082133312059,0.827054937703821,50138,"ours (ambient)",0.01
"easy (mu>=150)",0.950437607744331,0.853981114652527,90492,"ours (ambient)",0.01
"hard (mu<=15)",0.561212201666967,0.717780176334332,105461,"ours (ambient)",0.02
"moderate (mu=50)",0.769281033190475,0.836775650137971,52033,"ours (ambient)",0.02
"easy (mu>=150)",0.942439768886951,0.858379752365633,91730,"ours (ambient)",0.02
"hard (mu<=15)",0.533721140048633,0.753301720896952,116381,"ours (ambient)",0.05
"moderate (mu=50)",0.739751157932976,0.851388075926081,55055,"ours (ambient)",0.05
"easy (mu>=150)",0.927785412205853,0.864774160237507,93873,"ours (ambient)",0.05
"hard (mu<=15)",0.508523846287164,0.7828443916223,126938,"ours (ambient)",0.1
"moderate (mu=50)",0.711832586978987,0.863972740195668,58060,"ours (ambient)",0.1
"easy (mu>=150)",0.913139963743202,0.870245152065771,95982,"ours (ambient)",0.1
"hard (mu<=15)",0.468851817152126,0.81324811720048,143026,"ours (ambient)",0.2
"moderate (mu=50)",0.678021126078108,0.877560832845556,61914,"ours (ambient)",0.2
"easy (mu>=150)",0.894706990499727,0.877126090971374,98734,"ours (ambient)",0.2
"hard (mu<=15)",0.381315683653397,0.85101325539372,184026,"ours (ambient)",0.35
"moderate (mu=50)",0.63679477428303,0.892612258550046,67053,"ours (ambient)",0.35
"easy (mu>=150)",0.871096462487897,0.884364481248697,102247,"ours (ambient)",0.35
"hard (mu<=15)",0.275957086811818,0.899972106673781,268915,"ours (ambient)",0.5
"moderate (mu=50)",0.58302434305981,0.907224684338155,74436,"ours (ambient)",0.5
"easy (mu>=150)",0.843095291732372,0.891841172440499,106536,"ours (ambient)",0.5
"hard (mu<=15)",0.189758885097298,0.963702293316516,418763,"ours (ambient)",0.7
"moderate (mu=50)",0.448035303223731,0.931745965381721,99481,"ours (ambient)",0.7
"easy (mu>=150)",0.791227520957251,0.903438483611848,114996,"ours (ambient)",0.7
"hard (mu<=15)",0.904547571007295,0.282717052524346,25772,"fishash",0.01
"moderate (mu=50)",0.957666167492224,0.695166819968225,34724,"fishash",0.01
"easy (mu>=150)",0.961783013185195,0.856096035268535,89646,"fishash",0.01
"hard (mu<=15)",0.885149835076146,0.305917023418266,28498,"fishash",0.05
"moderate (mu=50)",0.945734926368436,0.711535245421858,35990,"fishash",0.05
"easy (mu>=150)",0.950713629000482,0.862460655526099,91364,"fishash",0.05
"hard (mu<=15)",0.875116994250568,0.317498817565519,29916,"fishash",0.1
"moderate (mu=50)",0.938972133518928,0.719186386821641,36639,"fishash",0.1
"easy (mu>=150)",0.945287830285931,0.864962815128136,92155,"fishash",0.1
"hard (mu<=15)",0.863846934890214,0.330172089695235,31516,"fishash",0.2
"moderate (mu=50)",0.93168184252812,0.727255623379881,37340,"fishash",0.2
"easy (mu>=150)",0.939151819753643,0.868318886340393,93117,"fishash",0.2
"hard (mu<=15)",0.854291356524381,0.34101410432104,32915,"fishash",0.35
"moderate (mu=50)",0.924547681125069,0.733882431641442,37971,"fishash",0.35
"easy (mu>=150)",0.933200664055849,0.870701895485191,93968,"fishash",0.35
"hard (mu<=15)",0.847692080814039,0.348557429933177,33905,"fishash",0.5
"moderate (mu=50)",0.920148124967402,0.737603478551718,38346,"fishash",0.5
"easy (mu>=150)",0.929059341031172,0.872409718705629,94572,"fishash",0.5
"hard (mu<=15)",0.840674950497891,0.355276083291898,34847,"fishash",0.7
"moderate (mu=50)",0.915652084193149,0.74207709674722,38768,"fishash",0.7
"easy (mu>=150)",0.924857130851332,0.874157258745147,95192,"fishash",0.7
"hard (mu<=15)",0.199328420856263,0.932995379409874,385956,"otsu",NA
"moderate (mu=50)",0.728503156317986,0.854022075424367,56078,"otsu",NA
"easy (mu>=150)",0.950997646127109,0.858469115208563,90914,"otsu",NA
"hard (mu<=15)",0.667729372339462,0.447045126550808,55205,"valley",NA
"moderate (mu=50)",0.776899511236875,0.694476962956769,42761,"valley",NA
"easy (mu>=150)",0.82786741877651,0.75193867723134,91476,"valley",NA
