"regime","precision","recall","method","cutoff"
"hard (mu<=15)",0.625121913041384,0.629625137950689,"ours (ambient)",0.001
"moderate (mu=50)",0.841885231473332,0.799857847646124,"ours (ambient)",0.001
"easy (mu>=150)",0.968587823780892,0.84134123698033,"ours (ambient)",0.001
"hard (mu<=15)",0.593822906187796,0.672932558788217,"ours (ambient)",0.005
"moderate (mu=50)",0.807728849966953,0.817522368090978,"ours (ambient)",0.005
"easy (mu>=150)",0.956992854507028,0.849751273420512,"ours (ambient)",0.005
"hard (mu<=15)",0.579017143319772,0.693876808518379,"ours (ambient)",0.01
"moderate (mu=50)",0.789082133312059,0.827054937703821,"ours (ambient)",0.01
"easy (mu>=150)",0.950437607744331,0.853981114652527,"ours (ambient)",0.01
"hard (mu<=15)",0.561212201666967,0.717780176334332,"ours (ambient)",0.02
"moderate (mu=50)",0.769281033190475,0.836775650137971,"ours (ambient)",0.02
"easy (mu>=150)",0.942439768886951,0.858379752365633,"ours (ambient)",0.02
"hard (mu<=15)",0.533721140048633,0.753301720896952,"ours (ambient)",0.05
"moderate (mu=50)",0.739751157932976,0.851388075926081,"ours (ambient)",0.05
"easy (mu>=150)",0.927785412205853,0.864774160237507,"ours (ambient)",0.05
"hard (mu<=15)",0.508523846287164,0.7828443916223,"ours (ambient)",0.1
"moderate (mu=50)",0.711832586978987,0.863972740195668,"ours (ambient)",0.1
"easy (mu>=150)",0.913139963743202,0.870245152065771,"ours (ambient)",0.1
"hard (mu<=15)",0.468851817152126,0.81324811720048,"ours (ambient)",0.2
"moderate (mu=50)",0.678021126078108,0.877560832845556,"ours (ambient)",0.2
"easy (mu>=150)",0.894706990499727,0.877126090971374,"ours (ambient)",0.2
"hard (mu<=15)",0.381315683653397,0.85101325539372,"ours (ambient)",0.35
"moderate (mu=50)",0.63679477428303,0.892612258550046,"ours (ambient)",0.35
"easy (mu>=150)",0.871096462487897,0.884364481248697,"ours (ambient)",0.35
"hard (mu<=15)",0.275957086811818,0.899972106673781,"ours (ambient)",0.5
"moderate (mu=50)",0.58302434305981,0.907224684338155,"ours (ambient)",0.5
"easy (mu>=150)",0.843095291732372,0.891841172440499,"ours (ambient)",0.5
"hard (mu<=15)",0.189758885097298,0.963702293316516,"ours (ambient)",0.7
"moderate (mu=50)",0.448035303223731,0.931745965381721,"ours (ambient)",0.7
"easy (mu>=150)",0.791227520957251,0.903438483611848,"ours (ambient)",0.7
"hard (mu<=15)",0.904547571007295,0.282717052524346,"fishash",0.01
"moderate (mu=50)",0.957666167492224,0.695166819968225,"fishash",0.01
"easy (mu>=150)",0.961783013185195,0.856096035268535,"fishash",0.01
"hard (mu<=15)",0.885149835076146,0.305917023418266,"fishash",0.05
"moderate (mu=50)",0.945734926368436,0.711535245421858,"fishash",0.05
"easy (mu>=150)",0.950713629000482,0.862460655526099,"fishash",0.05
"hard (mu<=15)",0.875116994250568,0.317498817565519,"fishash",0.1
"moderate (mu=50)",0.938972133518928,0.719186386821641,"fishash",0.1
"easy (mu>=150)",0.945287830285931,0.864962815128136,"fishash",0.1
"hard (mu<=15)",0.863846934890214,0.330172089695235,"fishash",0.2
"moderate (mu=50)",0.93168184252812,0.727255623379881,"fishash",0.2
"easy (mu>=150)",0.939151819753643,0.868318886340393,"fishash",0.2
"hard (mu<=15)",0.854291356524381,0.34101410432104,"fishash",0.35
"moderate (mu=50)",0.924547681125069,0.733882431641442,"fishash",0.35
"easy (mu>=150)",0.933200664055849,0.870701895485191,"fishash",0.35
"hard (mu<=15)",0.847692080814039,0.348557429933177,"fishash",0.5
"moderate (mu=50)",0.920148124967402,0.737603478551718,"fishash",0.5
"easy (mu>=150)",0.929059341031172,0.872409718705629,"fishash",0.5
"hard (mu<=15)",0.840674950497891,0.355276083291898,"fishash",0.7
"moderate (mu=50)",0.915652084193149,0.74207709674722,"fishash",0.7
"easy (mu>=150)",0.924857130851332,0.874157258745147,"fishash",0.7
"hard (mu<=15)",0.199328420856263,0.932995379409874,"otsu",NA
"moderate (mu=50)",0.728503156317986,0.854022075424367,"otsu",NA
"easy (mu>=150)",0.950997646127109,0.858469115208563,"otsu",NA
"hard (mu<=15)",0.667729372339462,0.447045126550808,"valley",NA
"moderate (mu=50)",0.776899511236875,0.694476962956769,"valley",NA
"easy (mu>=150)",0.82786741877651,0.75193867723134,"valley",NA
"hard (mu<=15)",0.666886478750719,0.576433777605297,"geomux",0.001
"moderate (mu=50)",0.880829997394415,0.77736432812108,"geomux",0.001
"easy (mu>=150)",0.979369130974405,0.830518403781041,"geomux",0.001
"hard (mu<=15)",0.639842809152564,0.612125107631857,"geomux",0.005
"moderate (mu=50)",0.855759245044476,0.792394849067648,"geomux",0.005
"easy (mu>=150)",0.972540072135606,0.838005024177614,"geomux",0.005
"hard (mu<=15)",0.625947838686308,0.628703445432165,"geomux",0.01
"moderate (mu=50)",0.84284643864598,0.799502466761435,"geomux",0.01
"easy (mu>=150)",0.968812900274474,0.84113272368016,"geomux",0.01
"hard (mu<=15)",0.612301924978726,0.645754757024874,"geomux",0.02
"moderate (mu=50)",0.829400386847195,0.806756417760682,"geomux",0.02
"easy (mu>=150)",0.964539971885911,0.844816458649827,"geomux",0.02
"hard (mu<=15)",0.594751873563959,0.671792570673199,"geomux",0.05
"moderate (mu=50)",0.80884878836165,0.817083368174597,"geomux",0.05
"easy (mu>=150)",0.957475380483438,0.849542760120342,"geomux",0.05
"hard (mu<=15)",0.579886464035097,0.69250639727373,"geomux",0.1
"moderate (mu=50)",0.79004597241655,0.826281461660674,"geomux",0.1
"easy (mu>=150)",0.950863184437244,0.853693167714198,"geomux",0.1
"hard (mu<=15)",0.562338156892612,0.716349127423991,"geomux",0.2
"moderate (mu=50)",0.770788768765296,0.836127602642361,"geomux",0.2
"easy (mu>=150)",0.942875222291319,0.858111663836843,"geomux",0.2
"hard (mu<=15)",0.546169064748201,0.736553597632706,"geomux",0.35
"moderate (mu=50)",0.752724630661177,0.844635839116983,"geomux",0.35
"easy (mu>=150)",0.934714970124347,0.862063487335299,"geomux",0.35
"hard (mu<=15)",0.535040919921268,0.751628121323841,"geomux",0.5
"moderate (mu=50)",0.741115826669824,0.850572790367088,"geomux",0.5
"easy (mu>=150)",0.928537149804306,0.864516000913487,"geomux",0.5
"hard (mu<=15)",0.524020510778115,0.765926482894114,"geomux",0.7
"moderate (mu=50)",0.728897663002881,0.856739693954344,"geomux",0.7
"easy (mu>=150)",0.92209479153466,0.866968514491674,"geomux",0.7
