"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5
"A","A__mix72hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix72hr_Cropseq",0.9,"weak",5,"low",1
"A","A__mix72hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix72hr_Cropseq",0.9,"weak",5,"high",5
"A","A__mix72hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix72hr_Cropseq",0.9,"mod",15,"low",1
"A","A__mix72hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix72hr_Cropseq",0.9,"mod",15,"high",5
"A","A__mix72hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix72hr_Cropseq",0.9,"strong",50,"low",1
"A","A__mix72hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix72hr_Cropseq",0.9,"strong",50,"high",5
"A","A__mix72hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix72hr_Cropseq",0.99,"weak",5,"low",1
"A","A__mix72hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix72hr_Cropseq",0.99,"weak",5,"high",5
"A","A__mix72hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix72hr_Cropseq",0.99,"mod",15,"low",1
"A","A__mix72hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix72hr_Cropseq",0.99,"mod",15,"high",5
"A","A__mix72hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix72hr_Cropseq",0.99,"strong",50,"low",1
"A","A__mix72hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix72hr_Cropseq",0.99,"strong",50,"high",5
"A","A__mix0hr_DirectCapture__pur90__muweak__moilow","direct-capture","mix0hr_DirectCapture",0.9,"weak",30,"low",1
