"model","id","regime","chemistry","purity","mu_level","mu_pert","moi_level","moi"
"B","B__regime__a549_crispri_perturbseq_GSE236304","a549_crispri_perturbseq_GSE236304","a549_crispri_perturbseq_GSE236304",NA,"cal",83,"low",2.5
"B","B__regime__cd8_tcell_perturbcite_GSE279498","cd8_tcell_perturbcite_GSE279498","cd8_tcell_perturbcite_GSE279498",NA,"cal",8,"low",2.8
"B","B__regime__dctap_k562_highmoi_GSE303901","dctap_k562_highmoi_GSE303901","dctap_k562_highmoi_GSE303901",NA,"cal",195,"high",14.9
"B","B__regime__dctap_k562_lowmoi_GSE303901","dctap_k562_lowmoi_GSE303901","dctap_k562_lowmoi_GSE303901",NA,"cal",518,"low",1.5
"B","B__regime__endoc_t2d_perturbseq_GSE273677","endoc_t2d_perturbseq_GSE273677","endoc_t2d_perturbseq_GSE273677",NA,"cal",238,"low",1.8
"B","B__regime__gastric_organoid_cropseq_GSE280506","gastric_organoid_cropseq_GSE280506","gastric_organoid_cropseq_GSE280506",NA,"cal",84,"low",1.5
"B","B__regime__invivo_cortex_perturbseq_GSE249416","invivo_cortex_perturbseq_GSE249416","invivo_cortex_perturbseq_GSE249416",NA,"cal",390,"high",11.5
"B","B__regime__ipsc_crispri_hipsci_figshare27989294","ipsc_crispri_hipsci_figshare27989294","ipsc_crispri_hipsci_figshare27989294",NA,"cal",52,"low",0
"B","B__regime__perturb_multiome_erythroid_GSE274113","perturb_multiome_erythroid_GSE274113","perturb_multiome_erythroid_GSE274113",NA,"cal",27,"low",2.5
"B","B__regime__tcell_cd4_perturbseq_GSE314342","tcell_cd4_perturbseq_GSE314342","tcell_cd4_perturbseq_GSE314342",NA,"cal",80,"low",0.1
"B","B__regime__gasperini","gasperini","gasperini",NA,"cal",10,"low",0.4
"B","B__regime__replogle","replogle","replogle",NA,"cal",814,"low",0.1
"B","B__regime__schraivogel","schraivogel","schraivogel",NA,"cal",66,"low",1.8
"B","B__regime__barnyard_0hr_Cropseq","barnyard_0hr_Cropseq","barnyard_0hr_Cropseq",NA,"cal",12,"low",3.8
"B","B__regime__barnyard_72hr_Cropseq","barnyard_72hr_Cropseq","barnyard_72hr_Cropseq",NA,"cal",11,"low",4.4
"B","B__regime__barnyard_0hr_DirectCapture","barnyard_0hr_DirectCapture","barnyard_0hr_DirectCapture",NA,"cal",18,"low",4.4
"B","B__regime__barnyard_72hr_DirectCapture","barnyard_72hr_DirectCapture","barnyard_72hr_DirectCapture",NA,"cal",353,"low",2.9
