"dataset","n_guides","n_cells","n_bimodal","left_mode","right_mode","separation","signal_frac","moi","lib_med","amb_mean","amb_pct3","amb_p99","amb_max"
"a549_crispri_perturbseq_GSE236304",253,25050,247,0,100,4.61512051684126,0.017684630738523,3,399,1.54,10.3,9,40
"cd8_tcell_perturbcite_GSE279498",44,1533,18,0,5.5,1.86883480914168,0.0169602087410307,1,5,1.9,15.9,11,20
"dctap_k562_highmoi_GSE303901",110,10925,94,0,194,5.11792209441183,0.0870938215102975,9,1860,2.75,34.1,16,66
"dctap_k562_lowmoi_GSE303901",110,5393,96,0,447.5,6.04696869057319,0.00769516039310217,1,354,1.66,12.1,7,381
"endoc_t2d_perturbseq_GSE273677",225,8256,217,0,218,5.3890717298165,0.0117490310077519,2,441,1.16,2.2,5,52
"gastric_organoid_cropseq_GSE280506",96,40000,96,0,85,4.45434729625351,0.007625,1,63,2.76,33.8,13,21
"invivo_cortex_perturbseq_GSE249416",17,11688,16,0,193.5,5.26369591517696,0.0741786447638604,1,259,2.16,22,14,54
"ipsc_crispri_hipsci_figshare27989294",6824,39986,456,0,37.5,3.65057390292802,0.000250087530635723,8,278,1.2,3.2,4,143
"perturb_multiome_erythroid_GSE274113",63,14495,63,0,26,3.29583686600433,0.0159365298378751,1,28,1.26,4.3,5,14
"tcell_cd4_perturbseq_GSE314342",27272,38279,1,0,80,4.39444915467244,0.000156743906580632,3,33,1.07,0,2,2
"gasperini",13077,40000,497,0,10,2.39789527279837,0.0022,39,560,1.78,14.3,11,22
"replogle",2500,39769,460,0,904.5,6.80847980712005,0.000452613844954613,2,909,1.05,0.9,2,23
"schraivogel",86,21881,86,0,63,4.15888308335967,0.0124994287281203,1,66,1.15,2.9,5,22
"barnyard_0hr_Cropseq",200,6225,200,0,12,2.56494935746154,0.0305220883534137,5,67,1.12,2.7,4,8
"barnyard_72hr_Cropseq",200,7386,200,0,11,2.484906649788,0.0265366910370972,5,58,1.11,2.3,3,7
"barnyard_0hr_DirectCapture",200,6036,197,0,242,5.49306144334055,0.0164015904572565,3,1060.5,1.55,6.3,14,68
"barnyard_72hr_DirectCapture",200,7103,194,0,424.5,6.05318140069058,0.0165423060678586,3,1781,1.23,2.8,6,102
