"source","chemistry","purity","label","n_cells","moi_med","depth_ratio_med","depth_cor","comp_gini","mode_gap_med","ambient_fano","ambient_vmr_nz","ambient_max"
"real barnyard","CROP-seq",0.9,"mix0hr_Cropseq pur90",6225,5,10,0.440956455551907,0.291309442102167,2.56494935746154,NA,0.0366102202979429,5
"real barnyard","CROP-seq",0.99,"mix0hr_Cropseq pur99",6023,5,10.1428571428571,0.443274528231302,0.292101980924431,2.56494935746154,NA,0.0274056330994938,3
"real barnyard","CROP-seq",0.9,"mix72hr_Cropseq pur90",7386,5,10.5,0.438313613412507,0.18257801044958,2.484906649788,2.37731423192761,0.0507857085155559,11
"real barnyard","CROP-seq",0.99,"mix72hr_Cropseq pur99",7188,5,10.5941176470588,0.441622346758101,0.183158877109153,2.484906649788,NA,0.0244704866670724,5
"real barnyard","direct-capture",0.9,"mix0hr_DirectCapture pur90",6036,3,397.4375,0.674714925452643,0.571346770548226,5.49306144334055,32.4279377064327,51.545756382276,484
"real barnyard","direct-capture",0.99,"mix0hr_DirectCapture pur99",5516,3,411.125,0.68704430993007,0.558187937931771,5.54322049481899,22.6310335454871,1.88009430784808,58
"real barnyard","direct-capture",0.9,"mix72hr_DirectCapture pur90",7103,3,438.142857142857,0.711623675823981,0.631603663610959,6.04846917572639,57.2694860136026,377.109525012371,1339
"real barnyard","direct-capture",0.99,"mix72hr_DirectCapture pur99",6978,3,441.585714285714,0.71058661371559,0.634718618526412,6.06842558824411,38.9060496833669,34.7398612678757,310
"Model A (semi-synthetic)","CROP-seq",0.9,"A__mix0hr_Cropseq__pur90__muweak__moilow",2658,1,2,0.443590055480356,0.184531749196702,1.94591014905531,NA,0.0270057652151589,5
"Model A (semi-synthetic)","CROP-seq",0.9,"A__mix0hr_Cropseq__pur90__muweak__moihigh",2833,3,6.71428571428571,0.446703850749559,0.23543533697632,1.94591014905531,NA,0.0242836842670137,5
"Model A (semi-synthetic)","CROP-seq",0.9,"A__mix0hr_Cropseq__pur90__mumod__moilow",2682,1,4,0.378874972550531,0.210961408153296,2.35024018289621,NA,0.0270598616093733,5
"Model A (semi-synthetic)","CROP-seq",0.9,"A__mix0hr_Cropseq__pur90__mumod__moihigh",2849,3,16.5,0.413330340725317,0.300780669144981,2.484906649788,NA,0.0280013606006237,5
