"regime","separation","mu_pert.x","moi.x","target_pct3","sim_pct3","best","depth_fix","thresh3"
"replogle",6.81,814,2,0.9,2.4,"depth_fix",0.99,0.95
"dctap_k562_lowmoi_GSE303901",6.05,518,1,12.1,9.5,"crispat",0.74,0.68
"barnyard_72hr_DirectCapture",5.87,353,3,3.7,2.9,"depth_fix",0.96,0.95
"endoc_t2d_perturbseq_GSE273677",5.39,238,2,2.2,3,"crispat",0.94,0.91
"invivo_cortex_perturbseq_GSE249416",5.26,390,1,22,20.2,"valley",0.6,0.41
"dctap_k562_highmoi_GSE303901",5.12,195,9,34.1,29.9,"valley",0.82,0.73
"a549_crispri_perturbseq_GSE236304",4.62,83,3,10.3,9.7,"crispat",0.88,0.73
"gastric_organoid_cropseq_GSE280506",4.45,84,1,33.8,26.7,"valley",0.6,0.56
"tcell_cd4_perturbseq_GSE314342",4.39,80,3,0,1.2,"thresh3",0.99,1
"schraivogel",4.16,66,1,2.9,1.8,"depth_fix",0.98,0.92
"ipsc_crispri_hipsci_figshare27989294",3.65,52,8,3.2,3.8,"depth_fix",0.91,0.88
"perturb_multiome_erythroid_GSE274113",3.3,27,1,4.3,4.1,"depth_fix",0.98,0.96
"barnyard_0hr_DirectCapture",2.89,18,4,13.6,14.2,"depth_fix",0.83,0.76
"barnyard_0hr_Cropseq",2.56,12,5,5.7,6.1,"depth_fix",0.89,0.86
"barnyard_72hr_Cropseq",2.48,11,5,3.6,5,"depth_fix",0.9,0.86
"gasperini",2.4,10,25,14.3,14,"thresh3",0.78,0.8
"cd8_tcell_perturbcite_GSE279498",1.87,8,1,15.9,14.4,"fishash",0.65,0.59
