"regime","separation","mu_pert","mu_p10","mu_p90","signal_frac","emergent_moi","kappa_bar","phi_noise","alpha_amb","target_pct3","sim_pct3"
"a549_crispri_perturbseq_GSE236304",4.62,83,13,324,0.0164,2.5,32,0.7,0.7,10.3,9.5
"cd8_tcell_perturbcite_GSE279498",1.87,8,3,53,0.0185,2.8,16,3,0.3,15.9,16
"dctap_k562_highmoi_GSE303901",5.12,195,61,470,0.0992,14.9,64,3,0.3,34.1,30.6
"dctap_k562_lowmoi_GSE303901",6.05,518,114,1173,0.00982,1.5,16,3,0.7,12.1,9.6
"endoc_t2d_perturbseq_GSE273677",5.39,238,84,483,0.0121,1.8,4,3,0.3,2.2,5.2
"gastric_organoid_cropseq_GSE280506",4.45,84,57,121,0.01,1.5,64,0,0.3,33.8,22.3
"invivo_cortex_perturbseq_GSE249416",5.26,390,65,2265,0.0764,11.5,32,3,0.3,22,21.4
"ipsc_crispri_hipsci_figshare27989294",3.65,52,5,2082,0.000291,0,32,3,0.7,3.2,17.2
"perturb_multiome_erythroid_GSE274113",3.3,27,16,33,0.0168,2.5,8,1.5,0.7,4.3,3.7
"tcell_cd4_perturbseq_GSE314342",4.39,80,80,80,0.001,0.1,0.4,0,0.3,0,0
"gasperini",2.4,10,4,21,0.00247,0.4,32,3,0.7,14.3,14.4
"replogle",6.81,814,64,2091,0.000553,0.1,4,3,0.7,0.9,2.5
"schraivogel",4.16,66,45,78,0.012,1.8,8,3,0.7,2.9,5
"barnyard_0hr_Cropseq",2.56,12,5,28,0.0253,3.8,8,1.5,0.7,5.7,5.6
"barnyard_72hr_Cropseq",2.48,11,6,24,0.0292,4.4,16,0,0.7,3.6,3.7
"barnyard_0hr_DirectCapture",2.89,18,5,59,0.0294,4.4,16,3,0.3,13.6,16.8
"barnyard_72hr_DirectCapture",5.87,353,7,1190,0.0196,2.9,16,0.7,0.3,3.7,9
