"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true","model_chem"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"thresh3",0.687904133467315,0.989930285763619,0.693140114371377,0.00652741514360313,0.68868778280543,1532,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"thresh10",0.27351482462611,1,0.27351482462611,0,0.270588235294118,598,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"thresh20",0.108840041850816,1,0.108840041850816,0,0.109502262443439,242,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"ambient",0.601030858735911,0.705036101734603,0.829440993065303,0.264802631578947,0.809049773755656,2432,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"otsu",0.365089331445014,0.436653829778303,0.926995864747562,0.714968845094914,0.890045248868778,6901,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"valley",0.505200162296375,0.983439951693694,0.513455313126918,0.0153321976149915,0.523076923076923,1174,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"fishash",0.671365584045608,0.987994086523498,0.677122727219285,0.00805369127516779,0.668778280542986,1490,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"depth_fix",0.707631133964734,0.983470054076115,0.717342206550354,0.0107458912768647,0.70814479638009,1582,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"low",1,"sceptre",0.668139298115363,0.991941055577419,0.671629890917581,0.00610583446404342,0.66289592760181,1474,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"thresh3",0.681197406270627,0.998301950257732,0.682087200246689,0.00118827567995775,0.682946646203846,7574,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"thresh10",0.279395057969887,1,0.279395057969887,0,0.277421684571635,3073,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"thresh20",0.112154093628366,1,0.112154093628366,0,0.108783966778008,1205,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"ambient",0.714104578751849,0.945313099061952,0.751340624607269,0.0317594493418669,0.723842195540309,8281,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"otsu",0.720460462824916,0.961342785607665,0.756407092657733,0.0507271269895798,0.748397580572357,8733,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"valley",0.562243305310894,0.997617930430529,0.563608057340672,0.00179357573781184,0.552676717522795,6133,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"fishash",0.582261566936415,0.998248923341947,0.583212006200996,0.000988467874794069,0.547440642773314,6070,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"depth_fix",0.701351566942002,0.995609668815078,0.703635906208564,0.00247331424108305,0.691793806987452,7682,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"weak",5,"high",5,"sceptre",0.612883608548368,0.997447850132467,0.614033979589292,0.00183066361556064,0.590683398031958,6555,11077,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"thresh3",0.85430738043103,0.994342373406635,0.85893700146683,0.00453309156844968,0.850503485670023,2206,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"thresh10",0.550711885457809,1,0.550711885457809,0,0.542215336948102,1400,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"thresh20",0.358316768296826,1,0.358316768296826,0,0.35437645236251,915,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"ambient",0.662547477015566,0.721808593411638,0.911027422833084,0.251700680272109,0.894655305964369,3087,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"otsu",0.726883082076944,0.901034637043817,0.825367971810165,0.278489781780395,0.806738962044926,2887,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"valley",0.737112826104886,0.991708941811029,0.744244451011052,0.0083030617540218,0.74012393493416,1927,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"fishash",0.820707901935515,0.990237113617377,0.827831392367986,0.0070555032925682,0.817583268783888,2126,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"depth_fix",0.869766386942341,0.98584973664885,0.881277543279832,0.0105587329520458,0.871030209140201,2273,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"sceptre",0.820758134319411,0.982801015075396,0.835046728166911,0.0212471131639723,0.820681642137878,2165,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"thresh3",0.839821602044927,0.998926687769732,0.840604946813925,0.000928763815361753,0.840128084973446,10767,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"thresh10",0.533614009604922,1,0.533614009604922,0,0.534989065916901,6850,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"thresh20",0.329876071581735,1,0.329876071581735,0,0.334192439862543,4279,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"ambient",0.808098656990014,0.963772168833484,0.838426009631434,0.0166444740346205,0.80748203686348,10514,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"otsu",0.774132074603324,0.982122609861466,0.791852753341408,0.0158528231725218,0.785457669478288,10219,12804,"A CROP-seq"
