"regime","rep","unc_fdr","unc_prec","unc_rec","cor_fdr","cor_prec","cor_rec"
"low",1,0.129192253188474,0.870807746811526,0.895555015788195,0.00297377669640443,0.997026223303596,0.895797911100316
"low",2,0.110716820440028,0.889283179559972,0.912600145666424,0.00344370860927152,0.996556291390728,0.91332847778587
"low",3,0.159516202647193,0.840483797352807,0.894800777453839,0.00402792696025779,0.995972073039742,0.9011175898931
"low",4,0.25,0.75,0.87598231827112,0.00245098039215686,0.997549019607843,0.899557956777996
"low",5,0.223501812753252,0.776498187246748,0.886103674860063,0.00290851401374934,0.997091485986251,0.91774154295449
"low",6,0.103729315880464,0.896270684119536,0.893622260526964,0.00465753424657534,0.995342465753425,0.894607239596159
"low",7,0.387603591160221,0.612396408839779,0.858629871701767,0.00181394143560508,0.998186058564395,0.932461873638344
"low",8,0.210285465242972,0.789714534757028,0.884981684981685,0.00487276664861938,0.995127233351381,0.897680097680098
"low",9,0.130128956623681,0.869871043376319,0.90576171875,0.00187065740245858,0.998129342597541,0.911865234375
"low",10,0.268686466015547,0.731313533984453,0.898824105830475,0.00525072197427146,0.994749278025729,0.928221460068594
"medium",1,0.114415927080835,0.885584072919165,0.903131115459883,0.00294275013376137,0.997057249866239,0.911692759295499
"medium",2,0.158017221317198,0.841982778682802,0.890913568086678,0.00422416220782878,0.995775837792171,0.870721497168185
"medium",3,0.118710307767465,0.881289692232535,0.889985199802664,0.00357339197361187,0.996426608026388,0.894178589047854
"medium",4,0.0605902324366675,0.939409767563332,0.880107658429166,0.00550964187327824,0.994490358126722,0.883288475654514
"medium",5,0.0544041450777202,0.94559585492228,0.890461088070261,0.00296896086369771,0.997031039136302,0.901195413515492
"medium",6,0.0588688946015424,0.941131105398458,0.892926829268293,0.0043360433604336,0.995663956639566,0.89609756097561
"medium",7,0.0499739718896408,0.950026028110359,0.882708585247884,0.00241286863270777,0.997587131367292,0.89987908101572
"medium",8,0.0559959089746868,0.944004091025313,0.896116504854369,0.000804289544235925,0.999195710455764,0.904611650485437
"medium",9,0.109873793615442,0.890126206384558,0.87454412837345,0.00358521787093216,0.996414782129068,0.87843423292001
"medium",10,0.115327009485771,0.884672990514229,0.861239368165249,0.00328137817883511,0.996718621821165,0.885783718104496
"high",1,0.0451992511366676,0.954800748863332,0.881046396841066,0.00434900788257679,0.995650992117423,0.903998025666338
"high",2,0.0228820484881504,0.97711795151185,0.884805130735076,0.00583657587548638,0.994163424124514,0.882338431179082
"high",3,0.05241626182562,0.94758373817438,0.899514563106796,0.00187316028900187,0.998126839710998,0.905339805825243
"high",4,0.0545500251382604,0.94544997486174,0.914640077821012,0.00185136207352552,0.998148637926474,0.917801556420233
"high",5,0.0757276763690183,0.924272323630982,0.895554493307839,0.00210859251449657,0.997891407485503,0.904875717017208
"high",6,0.132648183556405,0.867351816443595,0.891646191646192,0.00302447071762442,0.996975529282376,0.890909090909091
"high",7,0.096757852077001,0.903242147922999,0.877676593650012,0.00165654334621756,0.998343456653782,0.889982771351218
"high",8,0.0438936225148464,0.956106377485154,0.894228447234967,0.00110253583241455,0.998897464167585,0.875150929727119
"high",9,0.0248382923673997,0.9751617076326,0.901458981104999,0.00179349218549833,0.998206507814502,0.931834489356613
"high",10,0.0389022115640821,0.961097788435918,0.889080601429628,0.00218400218400218,0.997815997815998,0.900912003943801
