"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"a549","chr1-11796979-11796980_01","ENSG00000116670",0.284,46,294,0.91,1.429,0.833
"a549","chr1-11796979-11796980_02","ENSG00000116670",0.279,30,456,0.996,0.935,0.942
"a549","chr1-11796979-11796980_03","ENSG00000116670",0.279,25,493,1.033,0.848,0.763
"a549","chr1-11796979-11796980_08","ENSG00000116670",0.278,42,466,1.005,1.115,0.966
"a549","chr1-11968979-11968980_02","ENSG00000162496",0.498,163,45,0.844,0.854,1.226
"a549","chr1-11968979-11968980_03","ENSG00000162496",0.501,52,433,1.007,1.076,1.07
"a549","chr1-11968979-11968980_05","ENSG00000162496",0.494,85,152,0.881,0.757,0.71
"a549","chr1-11968979-11968980_12","ENSG00000162496",0.498,141,62,0.806,0.975,0.991
"a549","chr1-15251269-15251289_01","ENSG00000142634",1.224,34,405,1.005,0.765,0.952
"a549","chr1-15251269-15251289_02","ENSG00000142634",1.228,35,458,0.987,0.844,0.915
"a549","chr1-15251269-15251289_05","ENSG00000142634",1.221,44,438,1.016,0.832,0.93
"a549","chr1-15251269-15251289_09","ENSG00000142634",1.224,22,168,0.902,0.919,0.864
"a549","chr1-155225342-155225403_02","ENSG00000160752",0.984,89,253,0.987,1.011,1.181
"a549","chr1-155225342-155225403_03","ENSG00000160752",0.989,42,378,0.994,1.029,1.055
"a549","chr1-155225342-155225403_05","ENSG00000160752",0.989,53,217,0.948,1.087,0.916
"a549","chr1-155225342-155225403_07","ENSG00000160752",0.989,76,478,1.06,0.871,0.866
"a549","chr1-155225342-155225403_08","ENSG00000160752",0.991,29,384,0.971,1.071,0.938
"a549","chr1-165601007-165601008_01","ENSG00000143183",2.083,39,428,0.993,0.719,0.985
"a549","chr1-165601007-165601008_02","ENSG00000143183",2.079,82,259,0.922,0.938,0.899
"a549","chr1-165601007-165601008_03","ENSG00000143183",2.069,51,541,0.982,1.037,1.001
"a549","chr1-165601007-165601008_04","ENSG00000143183",2.075,56,189,1.018,0.791,1.017
"a549","chr1-165601007-165601008_05","ENSG00000143183",2.084,58,399,0.986,1.054,0.991
"a549","chr1-197871534-197871627_01","ENSG00000081237",0,78,467,0,0,0
"a549","chr1-197871534-197871627_03","ENSG00000081237",0,45,447,0,0,0
"a549","chr1-197871534-197871627_04","ENSG00000081237",0,47,387,0,33.002,0
"a549","chr1-197871534-197871627_08","ENSG00000081237",0,48,326,3.4,0,0
"a549","chr1-197871534-197871627_10","ENSG00000081237",0,46,510,0,0,4.876
"a549","chr1-202153911-202153912_01","ENSG00000117139",0.444,148,484,1.015,0.815,0.886
"a549","chr1-202153911-202153912_02","ENSG00000117139",0.432,29,376,0.897,0.959,0.935
"a549","chr1-202153911-202153912_03","ENSG00000117139",0.427,108,188,0.98,0.978,1.176
"a549","chr1-202153911-202153912_04","ENSG00000117139",0.425,30,300,1.033,0.953,1.149
"a549","chr1-202153911-202153912_05","ENSG00000117139",0.428,136,31,1.319,1.009,0.828
"a549","chr1-226298073-226298074_01","ENSG00000143815",0.842,76,473,0.995,0.906,0.969
"a549","chr1-226298073-226298074_02","ENSG00000143815",0.836,33,410,1.104,0.851,1.124
"a549","chr1-226298073-226298074_03","ENSG00000143815",0.833,31,454,1.011,0.899,1.086
"a549","chr1-226298073-226298074_04","ENSG00000143815",0.84,53,489,1.074,1.115,1.079
"a549","chr1-226298073-226298074_05","ENSG00000143815",0.834,25,439,0.973,1.068,1.05
"a549","chr2-188851274-188851275_01","ENSG00000003436",0.337,66,360,1.005,1.179,1.182
"a549","chr2-188851274-188851275_10","ENSG00000003436",0.334,40,333,1.098,0.893,1.079
"a549","chr3-38495333-38495386_02","ENSG00000187091",0.019,69,568,0.8,2.718,0.958
